Release;Date;Downloads
0.8.3;October 17, 2011;190
0.8.2;October 14, 2011;131
0.8.1;September 16, 2011;359
0.8;August 24, 2011;417
0.7.2;June 21, 2011;615
0.7.1;April 28, 2011;663
0.7;April  4, 2011;674
0.6.2;March 16, 2011;622
0.6.1;March  2, 2011;685
0.6;February 22, 2011;651
0.5.3;February 11, 2011;349
0.5.2;January 12, 2011;383
0.5.1;December 31, 2010;357
0.5;December 21, 2010;358
0.2.0;November 16, 2010;362
0.1.2;November  9, 2010;345
0.1.1;November  8, 2010;360
0.1.0;November  7, 2010;378
Total;October 20, 2011;7899
